code,denomination,batch
P5Q6R7S,1200,batch-01
T8U9V1W,1200,batch-01
X2Y3Z4A,1200,batch-01
B5C6D7E,1200,batch-01
F9G1H2J,1200,batch-01
K3L4M5N,1200,batch-01
P6Q7R8S,1200,batch-01
T9U1V2W,1200,batch-01
X3Y4Z5A,1200,batch-01
B6C7D8E,1200,batch-01
C3M8T94,1200,batch-01
D7R2K63,1200,batch-01
A4M7T92,2000,batch-01
B9R3K64,2000,batch-01
C2T8M75,2000,batch-01
D6K4R83,2000,batch-01
E3M9T52,2000,batch-01
F8R2K64,2000,batch-01
G5T7M93,2000,batch-01
H2K8R64,2000,batch-01
J9M3T75,2000,batch-01
K4R7M82,2000,batch-01
L8T2K63,2000,batch-01
M5K9R74,2000,batch-01
N3T6M82,2000,batch-01
P7M4K95,2000,batch-01
Q2R8T64,2000,batch-01
R6M3K75,2000,batch-01
S9T4R62,2000,batch-01
T2K7M83,2000,batch-01
V8R5T64,2000,batch-01
W3M9K72,2000,batch-01
X7T2R65,2000,batch-01
Y4K8M63,2000,batch-01
Z6R3T92,2000,batch-01
A8T5K64,2000,batch-01
B3M7R92,2000,batch-01
C9K2T63,2000,batch-01
D4R8M75,2000,batch-01
E7T3K62,2000,batch-01
F2M9R84,2000,batch-01
G6K4T75,2000,batch-01
H3R7M82,2000,batch-01
J8T2K63,2000,batch-01
K5M9R74,2000,batch-01
L2K8T93,2000,batch-01
M7R4K62,2000,batch-01
N9T3M85,2000,batch-01
P4K7R62,2000,batch-01
Q8M2T75,2000,batch-01
R3K9M64,2000,batch-01
S7T4K83,2000,batch-01
T5R8M62,2000,batch-01
V2M7K94,2000,batch-01
W9T3R65,2000,batch-01
X4K8M72,2000,batch-01
Y6R2T83,2000,batch-01
Z3M7K95,2000,batch-01
A9R4T62,2000,batch-01
B6K3M84,2000,batch-01
C2R7T95,2000,batch-01
D8M4K63,2000,batch-01
E5T9R64,2000,batch-01
F3K7M82,2000,batch-01
G9R2T64,2000,batch-01
H4M8K73,2000,batch-01
J7T3R64,2000,batch-01
K2M9T83,2000,batch-01
L6R4K75,2000,batch-01
M8T2R63,2000,batch-01
N4K7M95,2000,batch-01
P3R8T62,2000,batch-01
Q9M4K83,2000,batch-01
R2T7M64,2000,batch-01
S8K3R92,2000,batch-01
T4M9K65,2000,batch-01
V7R2T83,2000,batch-01
W2K8M64,2000,batch-01
X9T4R75,2000,batch-01
Y3M7T82,2000,batch-01
Z8K2R64,2000,batch-01
A5T9M73,2000,batch-01
B7K4R82,2000,batch-01
C3M8T64,2000,batch-01
D2R9K75,2000,batch-01
E8M4T63,2000,batch-01
F7R2K83,2000,batch-01
Z9LBK5C,2000,batch-01
ZE9XA38,2000,batch-01
ZGHUFLT,2000,batch-01
ZNECQUF,2000,batch-01
ZYPTELR,2000,batch-01
